umap_component_1,umap_component_2,umap_component_3,mental_health_risk_score
-14.502626,-7.777787,-3.4829614,2
-4.815358,5.1934657,8.726806,2
0.98181623,-8.6051,-1.107108,1
14.402871,-0.4101452,9.139836,1
-14.624258,-7.8151097,-3.5646856,2
-1.2859845,0.30846104,-13.282839,2
14.328616,-0.3650104,9.047021,1
0.049090892,22.234558,-4.255223,2
11.542472,-0.8311026,-8.881469,1
-4.9083323,5.202918,8.663076,2
-1.2739149,0.5971437,-13.414147,2
11.341031,18.697794,13.632883,1
17.778004,7.9261904,6.9890685,1
-4.668649,5.381015,8.713225,2
-4.301508,5.5659895,8.519955,2
25.756346,0.44288355,2.4545567,1
-4.499226,5.6285563,8.413932,2
10.857396,-8.962116,2.4127512,1
11.269928,18.817003,13.465257,1
25.724657,0.40994906,2.4339302,1
-4.5621147,5.3835273,8.619475,2
11.289657,18.63438,13.553569,1
19.782118,-4.657375,8.157056,1
-1.3907275,0.28265423,-13.397023,2
1.933176,-16.303951,1.1544023,2
11.601679,-0.8576571,-8.868784,1
19.858994,-4.663899,8.184564,1
6.516456,13.026841,5.932365,1
19.828669,-4.7285314,8.16345,1
-14.633126,-7.7251635,-3.4520352,2
14.398492,-0.43866825,9.0710335,1
10.857394,-8.962118,2.4127564,1
-1.2250384,0.43331975,-13.21487,2
-1.4014434,0.16202249,-13.326449,2
0.07684073,22.280369,-4.285289,2
-4.3608937,5.3197236,8.48853,2
16.997326,-1.8348037,17.574867,1
1.9984285,-16.137463,1.2517663,2
14.414557,-0.4568628,9.099551,1
25.736383,0.4214147,2.4334729,1
1.6630856,-16.110949,1.4124491,2
14.484721,-0.36814275,9.201274,1
-4.354039,5.2878866,8.495742,2
14.450173,-0.27751568,9.21119,1
16.947676,-1.8405904,17.520023,1
-4.43239,5.470273,8.523907,2
-14.535267,-7.79813,-3.494865,2
11.29904,18.84348,13.609104,1
-14.521748,-7.783814,-3.5348103,2
17.025078,-1.8268068,17.582806,1
0.14152956,22.327433,-4.3153214,2
-1.3568373,0.466388,-13.372601,2
-1.3331066,0.2716629,-13.36058,2
19.796362,-4.6627765,8.11104,1
-4.792275,5.3405657,8.700716,2
-1.3328568,0.77285546,-13.338253,2
-1.1901635,0.25747204,-13.495177,2
1.8031886,-16.233444,1.31918,2
-4.5263176,5.3325415,8.48098,2
-4.3118534,5.603806,8.557102,2
-1.1754735,0.58215636,-13.441917,2
-4.6755624,14.229317,-0.09631137,2
14.554765,-0.39514485,9.188243,1
1.8904972,-16.135653,1.336557,2
1.7141094,-16.028238,1.3854166,2
-4.3540125,5.323848,8.355971,2
-4.5259805,5.31537,8.553636,2
-1.467297,0.29625085,-13.685343,2
-14.542723,-7.8303027,-3.5417979,2
14.451229,-0.3623945,9.11691,1
14.39269,-0.39162895,9.248595,1
-1.342477,0.3375499,-13.5395155,2
14.424308,-0.39087865,9.134006,1
19.711193,-4.806781,7.977943,1
25.804693,0.48990026,2.504318,1
6.552755,12.990564,5.968675,1
11.202614,18.768042,13.517072,1
19.715172,-4.6181765,8.015519,1
-4.3186426,5.533721,8.406963,2
-4.275638,5.541219,8.300583,2
1.8366299,-16.04058,1.3182486,2
25.729197,0.4141912,2.427455,1
-3.0800123,11.497496,22.640102,2
-4.404846,5.3385663,8.611399,2
2.4137652,-5.79002,26.030018,2
11.547977,-0.78424597,-8.877115,1
14.479911,-0.3537584,9.208251,1
2.3032918,-5.673618,26.14051,2
8.827548,1.6317812,5.486041,1
-1.3238147,0.63210607,-13.52855,2
-1.2355517,0.56229764,-13.406185,2
-4.3857975,5.2752047,8.408088,2
-4.5354004,5.4468727,8.514011,2
-1.1591752,0.1859479,-13.568668,2
1.9523739,-16.154417,1.2254899,2
-3.2164507,11.305426,22.614182,2
-3.186105,11.355916,22.690256,2
19.77506,-4.6529055,8.069273,1
18.513218,-7.6405854,-4.6240487,1
25.817238,0.5022157,2.515042,1
-4.512774,5.2679477,8.49107,2
17.781939,7.929823,6.99241,1
25.797688,0.48267013,2.495018,1
10.857406,-8.962108,2.4127648,1
-4.425141,5.278229,8.437323,2
1.795966,-16.171791,1.3470626,2
6.5708385,12.972463,5.986749,1
0.021586698,22.239904,-4.253151,2
-4.6797686,5.1705437,8.582497,2
25.831703,0.51824474,2.52998,1
-1.1573478,0.50691324,-13.365156,2
-4.528578,5.2908697,8.578318,2
-4.5117316,5.3573155,8.472809,2
1.773241,-16.19221,1.383336,2
-10.521752,-6.768509,12.778996,2
-1.288999,0.017418906,-13.581853,2
6.4719515,2.2758052,13.553121,2
11.478735,-0.7407901,-8.953778,1
-4.620035,5.3135304,8.617429,2
17.020996,-1.8255404,17.594378,1
16.976542,-1.8611941,17.517447,1
25.789185,0.47440118,2.4892538,1
-4.6088758,5.3650513,8.506334,2
-4.4609966,5.442198,8.643059,2
-1.0978422,0.23063642,-13.322748,2
2.334654,-5.7066956,26.10915,2
-10.54386,-6.790623,12.801117,2
14.423357,-0.3685021,9.161678,1
-3.201573,11.299099,22.646881,2
-1.2467378,0.5828893,-13.3059435,2
-1.2174898,0.527225,-13.307338,2
2.2899778,-5.727722,26.153807,2
-1.2260823,0.461336,-13.491742,2
-4.5691857,5.3470283,8.435225,2
-3.2765203,11.456213,22.623274,2
-1.2438626,0.31879476,-13.344797,2
17.476055,7.3707724,6.41279,0
9.498839,3.9902914,-5.0692973,1
-4.536818,5.369855,8.516343,2
-1.2599328,0.16234525,-13.542441,2
11.255228,18.765501,13.533118,1
-1.1735697,0.39350432,-13.332927,2
11.098275,18.609713,13.398036,1
1.8336027,-16.05998,1.272143,2
1.761856,-16.225729,1.0837073,2
1.9870882,-16.19713,1.1721004,2
-4.681409,5.406943,8.538918,2
-4.6931205,5.316045,8.552571,2
-4.4974074,5.269339,8.449093,2
-4.7165403,5.42884,8.569033,2
-1.1474882,0.23389605,-13.36641,2
19.817083,-4.6024866,8.223215,1
9.530645,4.022087,-5.0568275,1
-1.1825436,0.16201039,-13.612182,2
-1.1754727,0.090464,-13.5760145,2
-4.458119,5.1830864,8.411942,2
6.5001473,2.2475495,13.524871,2
-1.0723661,0.5843406,-13.513884,2
19.927225,-4.6793866,8.186572,1
-3.1485908,11.463864,22.730091,2
-1.0325998,0.26484883,-13.424188,2
16.945555,-1.7974234,17.496256,1
1.8323972,-16.185076,1.2644495,2
19.967022,-4.5677156,8.256131,1
25.806822,0.49180344,2.5048888,1
-1.2809495,0.08127428,-13.532888,2
-1.1872807,0.5096021,-13.443278,2
1.8822159,-16.315214,1.084228,2
-4.7190275,5.3029037,8.5012865,2
-1.2239054,0.3884189,-13.375377,2
1.8656125,-16.24119,1.3092222,2
-10.565055,-6.811805,12.822318,2
-1.058424,0.4478327,-13.235698,2
-4.4707804,5.212515,8.549467,2
14.356845,-0.4892113,9.051378,1
-0.9688338,0.44024578,-13.341596,2
-3.0187914,11.615881,22.527468,2
1.9744514,-16.277672,1.3119472,2
0.98052824,-8.60384,-1.1083846,1
17.768131,7.9165006,6.9794316,1
-3.1135476,11.579138,22.566093,2
-1.1153055,0.35913107,-13.378838,2
1.8513862,-16.268427,1.085394,2
-14.681305,-7.7164583,-3.4344702,2
-1.072576,0.5665481,-13.397356,2
-0.95874995,0.13775848,-13.574854,2
-2.9518707,11.45597,22.743214,2
-4.6446724,5.3898506,8.485269,2
2.3274257,-5.691037,26.11637,2
-1.0384967,0.16460861,-13.548867,2
-4.5409484,5.1962733,8.554633,2
-4.6255903,5.299006,8.590642,2
11.574875,-0.85240114,-8.921656,1
-4.6275578,5.336133,8.676608,2
11.117804,18.777514,13.61822,1
-1.0985198,0.17665991,-13.431311,2
-3.0563474,11.529016,22.572245,2
-4.6904883,14.299044,-0.08129961,2
-1.2431076,0.2768571,-13.556582,2
19.765537,-4.735824,8.099631,1
-4.8180914,5.173489,8.50923,2
16.983482,-1.8783145,17.5573,1
6.5476427,12.995669,5.9635563,1
-4.4769344,5.424102,8.2541,2
-4.4842463,5.4389696,8.469241,2
-1.0767936,0.4015384,-13.396662,2
-4.6028295,5.2595444,8.444589,2
18.45896,-7.5863295,-4.678288,1
0.09061128,22.268211,-4.3026433,2
-2.9799054,11.525671,22.57975,2
11.53124,-0.7563006,-8.885023,1
-1.1535069,0.26773456,-13.544888,2
19.843752,-4.7335663,8.234932,1
-10.533309,-6.7800817,12.790524,2
11.163355,-5.2245107,9.91935,1
14.4021,-0.37375557,9.170377,1
-4.4722614,5.405364,8.444726,2
2.2851617,-5.6535444,26.158657,2
14.498216,-0.50906897,9.043568,1
-10.519421,-6.766176,12.776668,2
-4.648471,14.258661,-0.123362735,2
-4.56348,5.356287,8.534841,2
-3.278018,11.152063,22.652683,2
-4.506654,5.2016087,8.427282,2
-4.6543174,5.181547,8.417335,2
-1.0702716,0.26363266,-13.52689,2
-1.1371284,0.4411701,-13.620845,2
-4.7664676,5.168062,8.515082,2
11.627401,-0.8516147,-8.849128,1
-4.820656,5.23338,8.3426895,2
-14.688676,-7.7311487,-3.4209764,2
14.414966,-0.43681175,9.116353,1
0.12733409,22.27685,-4.303147,2
-0.9682886,0.24732788,-13.394586,2
-14.579446,-7.7976604,-3.5539327,2
-4.7150874,5.255064,8.459181,2
-4.6402507,5.278249,8.428983,2
-1.135984,0.1976216,-13.5419445,2
0.094738394,22.28848,-4.295809,2
-4.705505,5.321341,8.52064,2
17.818764,7.966918,7.0296345,1
6.700216,12.842556,6.1164765,1
-0.9626087,0.5120456,-13.461076,2
-4.4068837,5.4405684,8.341942,2
-4.5577435,5.162004,8.314316,2
0.9818552,-8.605136,-1.1070627,1
-4.575887,5.2217655,8.19107,2
-1.0306545,0.32972378,-13.399449,2
17.688719,7.8381133,6.9010887,1
-4.679139,14.230908,-0.09236607,2
9.514172,4.00544,-5.054502,1
-4.529252,5.3596377,8.225928,2
-1.1389966,0.28356627,-13.52224,2
-4.9298863,5.0517635,8.64721,2
-3.1945138,11.537655,22.718893,2
-14.539067,-7.7306705,-3.4710732,2
11.2301655,18.81111,13.502921,1
-3.1824648,11.394733,22.64018,2
17.82229,7.9704967,7.033335,1
-3.153102,11.539914,22.55648,2
-1.0202255,0.42013857,-13.547715,2
-0.87582964,0.5529451,-13.605409,2
11.3202915,18.848097,13.546381,1
18.512842,-7.640214,-4.624426,1
-10.481027,-6.7277527,12.738264,2
11.092468,18.814005,13.509901,1
11.092956,18.648054,13.400803,1
11.105371,18.70394,13.590912,1
-4.3447247,5.431507,8.302229,2
-10.491902,-6.7386584,12.749167,2
-14.502703,-7.719882,-3.4753747,2
-0.97512674,0.3853214,-13.488942,2
-1.1012352,0.50249255,-13.407677,2
9.469822,3.9611993,-5.089334,1
-1.0697364,0.22567818,-13.709384,2
-1.0953246,0.32672262,-13.672717,2
19.88456,-4.6204424,8.071762,1
16.972975,-1.8808004,17.556082,1
2.0703056,-16.271385,1.0744829,2
16.930565,-1.8956093,17.48183,1
-4.6110015,5.1708336,8.320561,2
1.755046,-16.137499,1.2628666,2
19.770191,-4.718004,8.115477,1
1.8285944,-16.21516,1.2244799,2
6.721739,12.820991,6.138047,1
-4.3736086,5.3322816,8.206887,2
-0.8873736,0.3352144,-13.514051,2
-4.5911274,5.2869587,8.326919,2
11.580429,-0.83370197,-8.881332,1
17.798431,7.9472094,7.0100384,1
-10.535147,-6.781919,12.792401,2
11.149651,18.78963,13.530374,1
18.516148,-7.643512,-4.6211343,1
-0.9915596,0.563826,-13.636085,2
-1.1960052,0.3486065,-13.534953,2
-1.0250512,0.6293818,-13.590974,2
2.496859,-4.2283645,13.096297,2
1.838,-16.20603,1.283236,2
-0.96082264,0.3592232,-13.629639,2
1.9107572,-16.395819,1.1532518,2
-0.9611931,0.492541,-13.490052,2
-4.4615817,5.374928,8.172865,2
-4.649777,5.124401,8.331605,2
0.9622107,-8.585494,-1.1267154,1
2.357636,-5.7257185,26.086212,2
25.763752,0.4487084,2.4617853,1
-14.581516,-7.7781887,-3.4988084,2
